Date,Name,Developer,Max clock,Word size(bits),Process,Chips[1],Transistors,MOSFET,Ref
1971,4004,Intel,740 kHz,4,10 μm,1,"2,250",pMOS,[1]
1972,PPS-25,Fairchild,400 kHz,4,,2,,pMOS,[2][a]
1972,μPD700,NEC,,4,,1,,,[3]
1972,8008,Intel,500 kHz,8,10 μm,1,"3,500",pMOS,
1972,PPS-4,Rockwell,200 kHz,4,,1,,pMOS,[4][5]
1973,μCOM-4,NEC,2 MHz,4,7.5 μm,1,"2,500",NMOS,[6][7][3][1]
1973,TLCS-12,Toshiba,1 MHz,12,6 μm,1,"2,800 silicon gates",pMOS,[8][9][1]
1973,Mini-D,Burroughs,1 MHz,8,,1,,pMOS,[10]
1974,IMP-8,National,715 kHz,8,,3,,pMOS,[8]
1974,8080,Intel,2 MHz,8,6 μm,1,"6,000",NMOS,
1974,μCOM-8,NEC,2 MHz,8,,1,,NMOS,[3][1]
1974,5065,Mostek,1.4 MHz,8,,1,,pMOS,[11]
1974,μCOM-16,NEC,2 MHz,16,,2,,NMOS,[3][1]
1974,IMP-4,National,500 kHz,4,,3,,pMOS,[8]
1974,4040,Intel,740 kHz,4,10 μm,1,"3,000",pMOS,
1974,6800,Motorola,1 MHz,8,-,1,"4,100",NMOS,[8]
1974,TMS 1000,Texas Instruments,400 kHz,4,8 μm,1,"8,000",,
1974,PACE,National,,16,,1,,pMOS,[12][13]
1974,ISP-8A/500 (SC/MP),National,1 MHz,8,,1,,pMOS,
1975,6100,Intersil,4 MHz,12,-,1,"4,000",CMOS,[14][15]
1975,TLCS-12A,Toshiba,1.2 MHz,12,-,1,,pMOS,[1]
1975,2650,Signetics,1.2 MHz,8,,1,,NMOS,[8]
1975,PPS-8,Rockwell,256 kHz,8,,1,,pMOS,[8]
1975,F-8,Fairchild,2 MHz,8,,1,,NMOS,[8]
1975,CDP 1801,RCA,2 MHz,8,5 μm,2,"5,000",CMOS,[16][17]
1975,6502,MOS Technology,1 MHz,8,-,1,"3,510",NMOS (dynamic),
1975,IMP-16,National,715 kHz,16,,5,,pMOS,[18][1][19]
1975,PFL-16A (MN 1610),Panafacom,2 MHz,16,-,1,,NMOS,[1]
1975,BPC,Hewlett Packard,10 MHz,16,-,1,"6,000 (+ ROM)",NMOS,[20][21]
1975,MCP-1600,Western Digital,3.3 MHz,16,-,3,,NMOS,
1975,CP1600,General Instrument,3.3 MHz,16,,1,,NMOS,[12][22][23][1]
1976,CDP 1802,RCA,6.4 MHz,8,,1,,CMOS,[24][25]
1976,Z-80,Zilog,2.5 MHz,8,4 μm,1,"8,500",NMOS,
1976,TMS9900,Texas Instruments,3.3 MHz,16,-,1,"8,000",,
1976,8x300,Signetics,8 MHz,8,,1,,Bipolar,[26][27]
1977,Bellmac-8 (WE212),Bell Labs,2.0 MHz,8,5 μm,1,"7,000",CMOS,
1977,8085,Intel,3.0 MHz,8,3 μm,1,"6,500",,
1977,MC14500B,Motorola,1.0 MHz,1,,1,,CMOS,
1978,6809,Motorola,1 MHz,8,5 μm,1,"9,000",,
1978,8086,Intel,5 MHz,16,3 μm,1,"29,000",,
1978,6801,Motorola,-,8,5 μm,1,"35,000",,
1979,Z8000,Zilog,-,16,-,1,"17,500",,
1979,8088,Intel,5 MHz,8/16[b],3 μm,1,"29,000",NMOS (HMOS),
1979,68000,Motorola,8 MHz,16/32[c],3.5 μm,1,"68,000",NMOS (HMOS),[28]
1980,16032,National Semiconductor,-,16/32,-,"60,000"
1981,6120,Harris Corporation,10 MHz,12,-,"20,000 (CMOS)[29]"
1981,ROMP,IBM,10 MHz,32,2 μm,"45,000"
1981,T-11,DEC,2.5 MHz,16,5 μm,"17,000 (NMOS)"
1982,RISC-I[30],UC Berkeley,1 MHz,-,5 μm,"44,420 (NMOS)"
1982,FOCUS,Hewlett Packard,18 MHz,32,1.5 μm,"450,000"
1982,80186,Intel,6 MHz,16,-,"55,000"
1987,80C186,Intel,10 MHz,16,-,"56,000 (CMOS)"
1982,80188,Intel,8 MHz,8/16,-,"29,000"
1982,80286,Intel,6 MHz,16,1.5 μm,"134,000"
1983,RISC-II,UC Berkeley,3 MHz,-,3 μm,"40,760 (NMOS)"
1983,MIPS[31],Stanford University,2 MHz,32,3 μm,"25,000"
1983,65816,Western Design Center,-,16,-,-
1984,68020,Motorola,16 MHz,32,2 μm,"190,000"
1984,NS32032,National Semiconductor,-,32,-,"70,000"
1984,V20,NEC,5 MHz,8/16,-,"63,000"
1985,80386,Intel,16–40 MHz,32,1.5 μm,"275,000"
1985,MicroVax II 78032,DEC,5 MHz,32,3.0 μm,"125,000"
1985,R2000,MIPS,8 MHz,32,2 μm,"115,000"
1985[32],Novix NC4016,Harris Corporation,8 MHz,16,3 μm[33],"16,000[34]"
1986,Z80000,Zilog,-,32,-,"91,000"
1986,SPARC MB86900,Fujitsu[35][36][37],40 MHz,32,0.8 μm,"800,000"
1986,V60[38],NEC,16 MHz,16/32,1.5 μm,"375,000"
1987,CVAX 78034,DEC,12.5 MHz,32,2.0 μm,"134,000"
1987,ARM2,Acorn,8 MHz,32,2 μm,"25,000[39]"
1987,Gmicro/200[40],Hitachi,-,-,1 μm,"730,000"
1987,68030,Motorola,16 MHz,32,1.3 μm,"273,000"
1987,V70[38],NEC,20 MHz,16/32,1.5 μm,"385,000"
1988,R3000,MIPS,25 MHz,32,1.2 μm,"120,000"
1988,80386SX,Intel,12–33 MHz,16/32,-,-
1988,i960,Intel,10 MHz,33/32,1.5 μm,"250,000"
1989,i960CA[41],Intel,16–33 MHz,33/32,0.8 μm,"600,000"
1989,"VAX DC520 ""Rigel""",DEC,35 MHz,32,1.5 μm,"320,000"
1989,80486,Intel,25 MHz,32,1 μm,"1,180,000"
1989,i860,Intel,25 MHz,32,1 μm,"1,000,000"
1990,68040,Motorola,40 MHz,32,-,1.2,
1990,POWER1,IBM,20–30 MHz,32,"1,000 nm",6.9,
1991,R4000,MIPS Computer Systems,100 MHz,64,800 nm,1.35,
1991,NVAX,DEC,62.5–90.91 MHz,-,750 nm,1.3,
1991,RSC,IBM,33 MHz,32,800 nm,1.0[42],
1992,SH-1,Hitachi,20 MHz,32,800 nm,0.6[44],
1992,Alpha 21064,DEC,100–200 MHz,64,750 nm,1.68,
1992,microSPARC I,Sun,40–50 MHz,32,800 nm,0.8,
1992,PA-7100,Hewlett Packard,100 MHz,32,800 nm,0.85[45],
1992,486SLC,Cyrix,40 MHz,16,,,
1993,HARP-1,Hitachi,120 MHz,-,500 nm,2.8[46],
1993,PowerPC 601,"IBM, Motorola",50–80 MHz,32,600 nm,2.8,
1993,Pentium,Intel,60–66 MHz,32,800 nm,3.1,
1993,POWER2,IBM,55–71.5 MHz,32,720 nm,23,
1994,microSPARC II,Fujitsu,60–125 MHz,-,500 nm,2.3,
